Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,1.54,18.48,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (Ohio),,DynamoDB on-demand capacity,0,0.01,0.12,USD,,"Table class (Standard-Infrequent Access), Average item size (all attributes) (4 KB), Data storage size (0.05 GB)"
My Estimate,US East (Ohio),,DynamoDB Backup and restore,0,0,0.00,USD,,
My Estimate,US East (Ohio),,S3 Standard,0.000465,0,0.00,USD,,"S3 Standard storage (0.09 GB per month), S3 Standard Average Object Size (1 MB), PUT, COPY, POST, LIST requests to S3 Standard (20), GET, SELECT, and all other requests from S3 Standard (100)"
My Estimate,US East (Ohio),,Amazon API Gateway,0,0,0.00,USD,,"HTTP API requests units (exact number), REST API request units (exact number), Cache memory size (GB) (None), WebSocket message units (thousands), Average message size (32 KB), Requests ( per month), Requests (500 per month)"
My Estimate,US East (Ohio),,AWS Secrets Manager,0,0.4,4.80,USD,,"Number of secrets (1), Average duration of each secret (30 days), Number of API calls (500 per month)"
My Estimate,US East (Ohio),,Amazon CloudFront,0,0.12,1.44,USD,,"Data transfer out to internet (1 GB per month), Data transfer out to origin (1 GB per month), Number of requests (HTTPS) (5000 per month)"
My Estimate,US East (Ohio),,AWS Lambda,0,0,0.00,USD,,"Architecture (x86), Architecture (x86), Invoke Mode (Buffered), Amount of ephemeral storage allocated (512 MB), Number of requests (5000 per month)"
My Estimate,US East (Ohio),,Step Functions - Standard Workflows,0,0,0.00,USD,,"Workflow requests (1000 per month), State transitions per workflow (1)"
My Estimate,US East (Ohio),,AWS Key Management Service,0,1.006,12.07,USD,,"Number of customer managed Customer Master Keys (CMK) (1), Number of symmetric requests (2000)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
